age	chittr	motttr	chimlu	motmlu
824	0.14	0.22	2.13	4.20
838	0.14	0.18	2.16	4.24
853	0.16	0.21	2.42	4.95
865	0.22	0.27	1.83	4.13
880	0.19	0.23	2.27	4.44
892	0.16	0.29	2.30	4.35
913	0.18	0.24	2.56	4.11
927	0.17	0.23	2.93	4.80
941	0.19	0.23	2.57	4.23
954	0.17	0.21	2.63	4.32
971	0.17	0.23	2.70	4.03
986	0.21	0.27	2.46	4.13
1004	0.26	0.25	2.38	3.98
1018	0.23	0.24	2.40	4.45
1032	0.18	0.28	2.65	4.19
1046	0.20	0.27	2.56	4.11
1060	0.18	0.22	2.98	4.54
1073	0.18	0.23	2.49	4.24
1088	0.14	0.20	3.30	4.66
1106	0.15	0.21	3.33	4.73
1120	0.14	0.29	3.86	4.76
1134	0.14	0.33	3.78	4.46
1151	0.15	0.23	3.65	4.32
1164	0.21	0.26	3.34	4.23
1176	0.15	0.33	3.71	4.38
1189	0.15	0.21	3.70	4.70
1203	0.14	0.23	4.13	4.70
1216	0.16	0.24	3.92	4.36
1233	0.17	0.22	4.24	4.86
1246	0.16	0.20	3.82	4.82
1260	0.17	0.21	3.80	4.73
1274	0.17	0.22	3.90	4.87
1284	0.20	0.25	4.03	4.38
1312	0.19	0.25	4.01	5.42
1336	0.16	0.22	4.16	4.98
1349	0.19	0.21	3.68	4.34
1361	0.16	0.22	4.05	4.77
1381	0.16	0.22	4.22	4.56
1410	0.20	0.23	4.08	5.12
1426	0.17	0.24	4.23	4.54
1439	0.17	0.28	4.11	4.44
1474	0.16	0.24	4.50	4.79
1505	0.13	0.21	4.56	4.85
1537	0.17	0.23	4.46	5.05
1559	0.16	0.25	5.03	4.91
1581	0.16	0.32	4.84	4.39
1593	0.17	0.47	4.49	4.18
1621	0.18	0.32	4.66	4.66
1664	0.15	0.30	4.61	4.81
1671	0.16	0.32	4.55	4.81
1699	0.18	0.29	4.64	5.09
1732	0.18	0.31	4.76	5.22
1762	0.17	0.38	4.58	5.26
1783	0.15	0.31	4.52	4.97
1897	0.14	0.29	4.60	4.79
